NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
Georgetown town,Massachusetts,8183,8183,8210,8300,8377
Gloucester city,Massachusetts,28789,28789,28860,29018,29191
Gloucester city,Massachusetts,28789,28789,28860,29018,29191
Groveland town,Massachusetts,6459,6459,6493,6631,6794
Hamilton town,Massachusetts,7764,7764,7990,8034,8072
Haverhill city,Massachusetts,60879,60879,60967,61456,61797
Haverhill city,Massachusetts,60879,60879,60967,61456,61797
Ipswich town,Massachusetts,13175,13175,13203,13425,13545
Lawrence city,Massachusetts,76377,76377,76519,76960,77326
Lawrence city,Massachusetts,76377,76377,76519,76960,77326
Lynn city,Massachusetts,90329,90329,90490,90880,91253
Lynn city,Massachusetts,90329,90329,90490,90880,91253
Lynnfield town,Massachusetts,11596,11596,11620,11720,11805
Manchester-by-the-Sea town,Massachusetts,5136,5136,5146,5188,5216
Marblehead town,Massachusetts,19808,19808,19846,19961,20076
Merrimac town,Massachusetts,6338,6338,6355,6417,6517
Methuen Town city,Massachusetts,47255,47255,47355,47691,48009
Methuen Town city,Massachusetts,47255,47255,47355,47691,48009
Middleton town,Massachusetts,8987,8987,8971,9136,9267
Nahant town,Massachusetts,3410,3410,3416,3426,3442
Newbury town,Massachusetts,6666,6666,6679,6729,6771
Newburyport city,Massachusetts,17416,17416,17447,17554,17654
Newburyport city,Massachusetts,17416,17416,17447,17554,17654
North Andover town,Massachusetts,28352,28352,27931,28183,28422
Peabody city,Massachusetts,51251,51251,51369,51597,51867
Peabody city,Massachusetts,51251,51251,51369,51597,51867
Rockport town,Massachusetts,6952,6952,6966,7013,7063
Rowley town,Massachusetts,5856,5856,5872,5914,5966
Salem city,Massachusetts,41340,41340,41830,42047,42219
Salem city,Massachusetts,41340,41340,41830,42047,42219
Salisbury town,Massachusetts,8283,8283,8302,8372,8425
Saugus town,Massachusetts,26628,26628,26711,27018,27338
Swampscott town,Massachusetts,13787,13787,13809,13863,13919
Topsfield town,Massachusetts,6085,6085,6097,6180,6273
Wenham town,Massachusetts,4875,4875,4881,4972,4993
West Newbury town,Massachusetts,4235,4235,4250,4307,4367
Franklin County,Massachusetts,71372,71372,71298,71646,71540
Greenfield Town city,Massachusetts,17456,17456,17420,17586,17553
Balance of Franklin County,Massachusetts,53916,53916,53878,54060,53987
Ashfield town,Massachusetts,1737,1737,1736,1740,1739
Bernardston town,Massachusetts,2129,2129,2128,2137,2134
Buckland town,Massachusetts,1902,1902,1901,1907,1902
Charlemont town,Massachusetts,1266,1266,1263,1265,1263
Colrain town,Massachusetts,1671,1671,1670,1678,1673
